# source: Luminescence R package v1.3.0.9000-2, data/BaseDataSet.FractionalGammaDose.rda
# generated: 2026-08-12 14:55:17 CEST by tools/generate_fixtures.R
"z","K","Th","U"
0,0.5,0.5,0.5
0.5,0.5555,0.5577,0.5607
1,0.5938,0.5974,0.6022
1.5,0.6258,0.6306,0.6366
2,0.6536,0.6594,0.6663
2.5,0.6782,0.6849,0.6924
3,0.7003,0.7076,0.7156
3.5,0.7202,0.7281,0.7364
4,0.7382,0.7466,0.7552
4.5,0.7547,0.7634,0.7721
5,0.7697,0.7787,0.7876
5.5,0.7836,0.7927,0.8016
6,0.7964,0.8055,0.8145
6.5,0.8083,0.8174,0.8263
7,0.8193,0.8283,0.8373
7.5,0.8295,0.8384,0.8473
8,0.8391,0.8478,0.8567
8.5,0.848,0.8565,0.8653
9,0.8564,0.8646,0.8734
9.5,0.8643,0.8722,0.8809
10,0.8716,0.8793,0.8879
11,0.8851,0.8921,0.9006
12,0.8971,0.9035,0.9118
13,0.9078,0.9135,0.9216
14,0.9174,0.9224,0.9303
15,0.9259,0.9304,0.938
16,0.9335,0.9375,0.9449
17,0.9404,0.9438,0.951
18,0.9465,0.9495,0.9564
20,0.957,0.9592,0.9655
22,0.9655,0.9669,0.9727
24,0.9722,0.9732,0.9784
25,0.9752,0.9759,0.9808
26,0.9778,0.9783,0.9829
28,0.9822,0.9824,0.9865
30,0.9858,0.9857,0.9893
31,0.9873,0.9871,0.9905
32,0.9886,0.9884,0.9916
33,0.9898,0.9895,0.9925
34,0.9909,0.9905,0.9934
35,0.9919,0.9915,0.9941
35.5,0.9923,0.9919,0.9944
36,0.9928,0.9923,0.9948
36.5,0.9932,0.9927,0.995
37,0.9935,0.993,0.9953
37.5,0.9939,0.9934,0.9956
38,0.9942,0.9937,0.9958
38.5,0.9946,0.994,0.9961
39,0.9949,0.9943,0.9963
39.5,0.9951,0.9946,0.9965
40,0.9954,0.9949,0.9967
40.5,0.9957,0.9951,0.9969
41,0.9959,0.9953,0.9971
