# source: Luminescence R package v1.3.0.9000-2, data/BaseDataSet.GrainSizeAttenuation.rda
# generated: 2026-08-12 14:55:17 CEST by tools/generate_fixtures.R
"GrainSize","Q_K","FS_K","Q_Th","FS_Th","Q_U","FS_U"
20,0.007,0.007,0.048,0.047,0.038,0.037
40,0.014,0.014,0.077,0.075,0.057,0.056
60,0.022,0.021,0.098,0.097,0.072,0.07
80,0.029,0.028,0.117,0.115,0.074,0.082
100,0.037,0.035,0.134,0.131,0.095,0.093
120,0.044,0.042,0.149,0.146,0.105,0.103
140,0.052,0.05,0.163,0.16,0.115,0.113
160,0.059,0.057,0.176,0.173,0.125,0.122
180,0.067,0.064,0.188,0.185,0.134,0.131
200,0.075,0.072,0.2,0.196,0.143,0.14
250,0.095,0.091,0.225,0.221,0.165,0.161
300,0.114,0.11,0.247,0.243,0.185,0.181
400,0.154,0.148,0.286,0.281,0.223,0.217
600,0.231,0.223,0.35,0.343,0.289,0.282
800,0.304,0.294,0.403,0.395,0.346,0.338
1000,0.372,0.36,0.449,0.441,0.395,0.387
