# source: Luminescence R package v1.3.0.9000-2, data/BaseDataSet.CosmicDoseRate.rda
# generated: 2026-08-12 14:55:17 CEST by tools/generate_fixtures.R
"depth","cosmic.dose.rate"
1e-04,0.3
0.001,0.299
0.01,0.294
0.02,0.288
0.03,0.283
0.04,0.278
0.05,0.273
0.06,0.269
0.07,0.264
0.08,0.26
0.09,0.257
0.1,0.253
0.11,0.25
0.12,0.247
0.13,0.244
0.14,0.241
0.15,0.239
0.16,0.236
0.17,0.234
0.18,0.232
0.19,0.23
0.2,0.228
0.25,0.22
0.3,0.214
0.35,0.209
0.4,0.205
0.45,0.202
0.5,0.199
0.6,0.195
0.7,0.191
0.8,0.188
0.9,0.185
1,0.183
